 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"59","Cheyenne Hayes","Troy","Jr.","5-9","OH","455","27","7","29","503.5"
"60","Taylor Bannister","LSU","Jr.","6-5","MB","438","21","5","74","501.0"
"61","Taylor Muff","Northern Colo.","Jr.","5-11","OH","423","38","17","44","500.0"
"62","Paige Whipple","Arizona","Jr.","6-1","OH","457","20","4","37","499.5"
"63","Jenna Bridges","Hartford","Sr.","6-2","MB","437","0","23","77","498.5"
"64","Melanie Feliciano","Evansville","Fr.","5-11","OH","456","15","2","40","493.0"
"","Jonni Parker","Penn St.","So.","6-1","OH","413","42","3","70","493.0"
"66","Julia Sangiacomo","Santa Clara","Fr.","6-5","OH","411","39","8","69","492.5"
"67","Kathryn Plummer","Stanford","Sr.","6-6","OH","444","24","1","46","492.0"
"","Lexi Sun","Nebraska","Jr.","6-2","OH","425","25","10","64","492.0"
"69","Kenzie Koerber","Utah","Jr.","6-3","OPP","400","34","5","104","491.0"
"70","Abbie Harry","Central Ark.","Sr.","6-0","OH","438","32","1","39","490.5"
"71","Katelyn MEYER","Bowling Green","So.","5-10","OH","459","5","6","39","489.5"
"72","Megan Gneiting","Weber St.","Sr.","6-0","OH","380","38","7","124","487.0"
"","Erika Pritchard","Maryland","Jr.","6-2","OH","417","30","6","68","487.0"
"74","Thayer Hall","Florida","So.","6-3","OH","415","34","17","40","486.0"
"","Breana Runnels","Colorado St.","Jr.","5-10","OH","417","36","9","48","486.0"
"76","Laura Masciullo","Hofstra","Sr.","6-0","OH","439","21","4","43","485.5"
"77","Lindsey Ruddins","UC Santa Barbara","Sr.","6-2","OH","439","8","13","50","485.0"
"78","Mikayla Shields","South Carolina","Sr.","6-0","RS","405","42","7","61","484.5"
"79","Ciara DeBell","Marshall","Jr.","6-2","OH","422","16","14","62","483.0"
"80","Jillian Gillen","Arkansas","Fr.","5-10","OH","424","29","8","37","479.5"
"","Mariena Hayden","UNLV","Jr.","6-0","OH","384","70","10","31","479.5"
"","Lauren Matias","UC Davis","Sr.","6-2","OH","421","30","10","37","479.5"
"83","Laney Malloy","Southeast Mo. St.","Jr.","6-0","OH","397","47","8","52","478.0"
"","Cortney VanLiew","FGCU","Jr.","5-11","OH","424","23","9","44","478.0"
"85","Emma Longley","Appalachian St.","Sr.","5-11","OH","446","6","12","27","477.5"
"86","Alicia Harrington","UMKC","Sr.","6-0","OH","415","25","10","54","477.0"
"87","Kashauna Williams","Long Beach St.","So.","-","OH","443","5","11","34","476.0"
"88","Sadie Limback","Omaha","So.","6-0","RS","411","21","6","74","475.0"
"89","McKenna Miller","BYU","Sr.","6-1","OH","397","43","4","56","472.0"
"","Charley Niego","Notre Dame","So.","6-0","OH","410","33","5","48","472.0"
"91","Katie Crowe","Purdue Fort Wayne","Jr.","5-10","OH","419","35","3","29","471.5"
"92","Emily Stroup","Ole Miss","Sr.","6-0","OH","431","19","6","30","471.0"
"93","Tessa Grubbs","Tennessee","Sr.","6-3","OH","438","7","7","35","469.5"
"94","Shannon Webb","Southern Utah","Sr.","6-0","OH","439","15","1","28","469.0"
"95","Rachel Tam","Evansville","Sr.","5-9","OH","448","4","1","31","468.5"
"","Kazna Tarawhiti","Utah Valley","So.","5-11","OH","415","18","3","65","468.5"
"97","Alex Stein","Colgate","Sr.","6-1","OH","414","22","10","44","468.0"
"98","Riley Patterson","Pacific","So.","5-8","OH","419","27","2","38","467.0"
"99","Lauren Deaton","Samford","So.","-","OH","443","4","7","25","466.5"
"","Hannah Flowers","Memphis","Jr.","6-2","RS","383","50","2","63","466.5"
"101","Solimar Cestero","North Florida","So.","6-0","OH","424","13","8","42","466.0"
"","Temi Thomas-Ailara","Northwestern","Fr.","6-2","OH","398","30","19","38","466.0"
"103","Sarah Colla","Campbell","So.","5-10","OH","407","24","5","58","465.0"
"104","Rachel Bontrager","Western Mich.","Jr.","5-11","OH","414","14","12","48","464.0"
"105","Victoria Pearson","Prairie View","Jr.","5-10","MB","392","28","14","55","461.5"
"106","Aiko Jones","Louisville","Fr.","6-2","OPP","382","27","5","92","460.0"
"107","Brooke Monssen","Charleston So.","Sr.","6-2","OH","419","13","8","39","459.5"
"108","Maggie Nedoma","Ohio","So.","6-0","OPP","388","33","4","65","457.5"
"109","Micaya White","Texas","Sr.","6-1","OH","392","30","8","51","455.5"
"110","Lexie Douglas","Tulane","Jr.","6-0","OH","384","37","5","58","455.0"
"","Mallory Mattingly","Jacksonville","Sr.","5-10","OH","394","38","5","36","455.0"
"","Brooke Townsend","UT Arlington","So.","6-0","OH","413","7","7","56","455.0"
"","Ali Verzani","Tennessee Tech","Jr.","5-10","OH","395","33","5","44","455.0"
"114","Kayla Lund","Pittsburgh","Jr.","6-0","OH","393","35","5","43","454.5"
"","Sami Slaughter","South Dakota","Jr.","6-1","OH","418","0","6","61","454.5"
"116","Samantha Drechsel","Washington","Jr.","6-4","OH","371","31","5","94","454.0"
"117","Melissa Evans","NC State","Jr.","6-1","OPP","408","6","6","67","453.5"
"","Molly Haggerty","Wisconsin","Jr.","6-1","OH","412","18","0","47","453.5"
"","Eve Kerschenbaum","Seattle U","So.","6-3","OH","399","40","2","25","453.5"
"120","Kaela Massey","ETSU","Sr.","6-1","MB","349","37","20","93","452.5"
"121","Miajavon Coleman","Coppin St.","So.","5-11","OH","406","25","3","34","451.0"
"122","Catie Cronister","Wofford","Sr.","5-10","OH","371","42","19","37","450.5"
"123","Payton Caffrey","Florida St.","Sr.","6-0","OH","403","18","4","50","450.0"
"","Breanne Chausse","Sam Houston St.","So.","5-9","OH","414","1","2","66","450.0"
"125","Peyton McCarthy","Valparaiso","Jr.","6-1","MH","362","21","19","95","449.5"
"126","Kacie Evans","Georgia","Fr.","5-11","OH","396","31","3","38","449.0"
"127","Mariana Brambilla","Georgia Tech","So.","5-11","OH","392","29","7","40","448.0"
"128","Skylar Iott","George Washington","Sr.","6-0","OH","395","29","4","38","447.0"
"129","Ronika Stone","Oregon","Sr.","6-2","MB","364","21","13","97","446.5"
"","Mikayla Vivens","Houston Baptist","Jr.","5-9","OH","394","28","5","39","446.5"
"131","Maya Taylor","Saint Louis","Jr.","5-11","OH","403","26","4","26","446.0"
"132","Alli Stumler","Kentucky","So.","-","OH","383","34","7","43","445.5"
"133","Lydia Bartalo","Denver","Jr.","5-10","OH","374","48","4","38","445.0"
"134","Dani Nay","Weber St.","Fr.","5-10","OH","401","20","1","44","444.0"
"135","Rachele Rastelli","St. John's (NY)","So.","6-4","OPP","369","28","11","71","443.5"
"136","Anna  Brinkmann","Northern Ky.","So.","6-0","OH","369","41","7","50","442.0"
"137","Savannah Davison","New Mexico St.","So.","5-10","OH","384","22","9","53","441.5"
"","Sydney Holt","Illinois St.","Jr.","6-1","MB","338","18","16","139","441.5"
"139","Addie Barnes","Loyola Chicago","Fr.","5-11","OH","371","49","4","34","441.0"
"","Savannah Slattery","LMU (CA)","Sr.","5-11","OH","401","13","9","36","441.0"
"141","Trinniti Hall","Cleveland St.","Sr.","5-10","MH","359","23","17","83","440.5"
"142","Paige Briggs","Western Ky.","Fr.","5-10","OH","388","27","10","30","440.0"
"143","Samantha Graver","La Salle","Jr.","5-10","OH","402","24","0","26","439.0"
"144","Kayla Afoa","Nevada","Jr.","5-9","OH","375","32","2","59","438.5"
"","Berkeley Oblad","Utah","Sr.","6-4","MB","338","14","14","145","438.5"
"146","Justine Spann","Colorado","Sr.","5-8","OH","378","30","14","30","437.0"
"147","Kelley Hartman","South Alabama","Sr.","6-2","MB","356","17","31","65","436.5"
"","Iva Vujosevic","Georgetown","Sr.","5-11","OH","379","44","0","27","436.5"
"149","Abby Akin","Northern Ariz.","Sr.","6-3","MB","314","38","19","126","434.0"
"150","Kara Spicer","Appalachian St.","Jr.","6-2","MB","342","26","31","69","433.5"

NCAA Women's Volleyball
Division ITotal Kills
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","MP","S","Kills"
"1","Jordan Thompson","Cincinnati","Sr.","6-4","OH","34","125","798"
"2","Dani Drews","Utah","Jr.","6-0","OH","34","137","643"
"3","Rachel Giustino","Murray St.","Sr.","5-10","OH","30","114","610"
"4","Kara Bajema","Washington","Sr.","6-2","OH","33","129","597"
"5","Allie Barber","Marquette","Sr.","6-5","OH","34","122","570"
"6","Khalia Lanier","Southern California","Sr.","6-2","OH","28","115","566"
"7","Karlie Taylor","UNI","Sr.","5-11","OH","34","124","565"
"8","Olivia Lohmeier","Morehead St.","Jr.","6-0","OH","33","119","564"
"9","Zoe McBride","Morgan St.","So.","6-0","OH","30","114","551"
"10","McKenna Melville","UCF","So.","6-1","OH","33","122","548"
"11","Yossiana Pressley","Baylor","Jr.","6-0","OH","30","101","546"
"12","Sarah Davis","Sacramento St.","Sr.","5-10","OH","32","130","542"
"13","Hannah Brister","Northwestern St.","Jr.","6-0","OH","32","113","539"
"14","Hollann Hans","Texas A&M","Sr.","6-1","OH","31","119","534"
"","Morgan Romano","Rider","Fr.","5-10","RS","31","115","534"
"16","Kaylee Martin","Illinois St.","Jr.","5-9","OH","34","132","526"
"17","Kylie Kuyava-Deberg","Missouri","Jr.","6-4","OH","30","111","524"
"18","Jamie Peterson","Dayton","So.","6-4","OH","31","114","522"
"19","Elizabeth Juhnke","South Dakota","Fr.","6-0","OH","34","123","520"
"20","Taylor Wolf","Green Bay","Jr.","6-2","S","30","114","518"
"21","Anett Nemeth","Coastal Caro.","So.","6-1","OPP","27","105","515"
"22","Kailey Jo Ince","Northern Colo.","So.","6-1","OH","34","132","508"
"23","Nicole Lennon","Rice","Jr.","6-2","OH","31","105","504"
"24","Jacqueline Quade","Illinois","Sr.","6-2","OH","30","118","499"
"25","Chichi Ikwuazom","Columbia","Sr.","6-1","MB","24","93","495"
"26","Ann Ernst","Loyola Maryland","Sr.","5-9","OH","31","121","493"
"","Mac May","UCLA","Jr.","6-3","OH","31","102","493"
"28","Efrosini Alexakou","St. John's (NY)","So.","6-1","OH","34","116","491"
"","Leah Edmond","Kentucky","Sr.","6-2","OH","32","111","491"
"","Emily Hill","Texas Tech","Sr.","6-1","OH","30","116","491"
"31","Dilara Gedikoglu","Tulsa","Fr.","5-10","OH","31","119","488"
"32","Leah Daniel","Elon","So.","6-1","OH","32","126","487"
"33","Polina Shemanova","Syracuse","So.","6-0","OH","25","94","485"
"34","Ashley Lewis","Sam Houston St.","Jr.","6-0","OH","33","134","482"
"35","CeCe Madison","Oral Roberts","Sr.","5-10","OH","31","123","481"
"36","Maria Bellinger","Delaware","Sr.","6-1","OH","29","104","477"
"37","Emily Plock","Drake","Jr.","6-2","OPP","31","125","472"
"38","Lauren Matthews","Western Ky.","So.","6-0","MH","34","118","470"
"39","Maia Dvoracek","Cal Poly","Jr.","6-1","OH","30","110","468"
"40","Kelsi Hobbs","Samford","Sr.","6-1","OH","30","118","466"
"41","Alli Lowe","Colgate","Jr.","6-0","OH","31","115","465"
"","Valerie Valerian","North Texas","Jr.","6-1","OH","28","109","465"
"43","Paige Jones","Michigan","So.","6-1","OH","32","118","463"
"44","Katelyn MEYER","Bowling Green","So.","5-10","OH","33","122","459"
"45","Amelia Johnson","Liberty","Jr.","6-1","OH","33","120","457"
"","Sydney Rowan","Charlotte","Jr.","5-10","OH","31","111","457"
"","Paige Whipple","Arizona","Jr.","6-1","OH","32","116","457"
"48","Melanie Feliciano","Evansville","Fr.","5-11","OH","28","109","456"
"49","Cheyenne Hayes","Troy","Jr.","5-9","OH","33","120","455"
"50","Lauren Chastang","Kennesaw St.","Jr.","5-11","OH","31","115","453"
"","Megan Fergus","Marist","Sr.","5-10","MB","30","114","453"
"","Abby Hamilton","Loyola Maryland","So.","5-11","OH","31","122","453"
"53","Maria Mallon","Cincinnati","So.","5-9","OH","33","119","451"
"54","Isabella Sade","Omaha","Jr.","6-2","OH","33","125","448"
"","Rachel Tam","Evansville","Sr.","5-9","OH","30","117","448"
"56","Emma Longley","Appalachian St.","Sr.","5-11","OH","30","116","446"
"","Caitlyn Newton","Purdue","Jr.","6-1","OH","30","114","446"
"58","Kathryn Plummer","Stanford","Sr.","6-6","OH","24","85","444"
"59","Lauren Deaton","Samford","So.","-","OH","30","118","443"
"","Brittany Maxwell","DePaul","Sr.","6-3","RS","30","121","443"
"","Kashauna Williams","Long Beach St.","So.","-","OH","29","110","443"
"62","Laura Masciullo","Hofstra","Sr.","6-0","OH","29","109","439"
"","Lindsey Ruddins","UC Santa Barbara","Sr.","6-2","OH","27","99","439"
"","Shannon Webb","Southern Utah","Sr.","6-0","OH","31","116","439"
"65","Taylor Bannister","LSU","Jr.","6-5","MB","28","102","438"
"","Tessa Grubbs","Tennessee","Sr.","6-3","OH","28","108","438"
"","Abbie Harry","Central Ark.","Sr.","6-0","OH","30","117","438"
"68","Jenna Bridges","Hartford","Sr.","6-2","MB","28","105","437"
"69","Bayle' Bennett","Alabama St.","Sr.","5-10","OH","39","141","432"
"70","Emily Stroup","Ole Miss","Sr.","6-0","OH","29","117","431"
"71","Julia Bergmann","Georgia Tech","Fr.","6-5","OH","34","123","426"
"72","Cheyenne Huskey","Texas St.","Sr.","6-2","OH","33","117","425"
"","Lexi Sun","Nebraska","Jr.","6-2","OH","33","119","425"
"74","Solimar Cestero","North Florida","So.","6-0","OH","30","116","424"
"","Jillian Gillen","Arkansas","Fr.","5-10","OH","30","113","424"
"","Cortney VanLiew","FGCU","Jr.","5-11","OH","32","104","424"
"77","Taylor Muff","Northern Colo.","Jr.","5-11","OH","34","132","423"
"78","Ciara DeBell","Marshall","Jr.","6-2","OH","28","101","422"
"79","Lauren Matias","UC Davis","Sr.","6-2","OH","30","112","421"
"80","Katie Crowe","Purdue Fort Wayne","Jr.","5-10","OH","33","128","419"
"","Brooke Monssen","Charleston So.","Sr.","6-2","OH","29","103","419"
"","Riley Patterson","Pacific","So.","5-8","OH","30","120","419"
"83","Sami Slaughter","South Dakota","Jr.","6-1","OH","34","123","418"
"84","Erika Pritchard","Maryland","Jr.","6-2","OH","32","127","417"
"","Breana Runnels","Colorado St.","Jr.","5-10","OH","31","110","417"
"86","Thayer Hall","Florida","So.","6-3","OH","30","111","415"
"","Alicia Harrington","UMKC","Sr.","6-0","OH","29","110","415"
"","Kazna Tarawhiti","Utah Valley","So.","5-11","OH","29","109","415"
"89","Rachel Bontrager","Western Mich.","Jr.","5-11","OH","28","112","414"
"","Breanne Chausse","Sam Houston St.","So.","5-9","OH","33","134","414"
"","Alex Stein","Colgate","Sr.","6-1","OH","32","122","414"
"92","Jonni Parker","Penn St.","So.","6-1","OH","33","117","413"
"","Dana Rettke","Wisconsin","Jr.","6-8","MB","32","110","413"
"","Brooke Townsend","UT Arlington","So.","6-0","OH","34","129","413"
"95","Molly Haggerty","Wisconsin","Jr.","6-1","OH","34","116","412"
"96","Sadie Limback","Omaha","So.","6-0","RS","30","118","411"
"","Julia Sangiacomo","Santa Clara","Fr.","6-5","OH","33","119","411"
"98","Charley Niego","Notre Dame","So.","6-0","OH","29","115","410"
"99","Melissa Evans","NC State","Jr.","6-1","OPP","28","115","408"
"100","Sarah Colla","Campbell","So.","5-10","OH","29","103","407"
"101","Miajavon Coleman","Coppin St.","So.","5-11","OH","31","113","406"
"102","Mikayla Shields","South Carolina","Sr.","6-0","RS","32","114","405"
"103","Payton Caffrey","Florida St.","Sr.","6-0","OH","28","100","403"
"","Maya Taylor","Saint Louis","Jr.","5-11","OH","26","103","403"
"105","Samantha Graver","La Salle","Jr.","5-10","OH","29","110","402"
"106","Dani Nay","Weber St.","Fr.","5-10","OH","33","114","401"
"","Savannah Slattery","LMU (CA)","Sr.","5-11","OH","29","110","401"
"108","Kenzie Koerber","Utah","Jr.","6-3","OPP","33","134","400"
"109","Eve Kerschenbaum","Seattle U","So.","6-3","OH","31","116","399"
"110","Temi Thomas-Ailara","Northwestern","Fr.","6-2","OH","28","102","398"
"111","Laney Malloy","Southeast Mo. St.","Jr.","6-0","OH","34","129","397"
"","McKenna Miller","BYU","Sr.","6-1","OH","31","111","397"
"113","Kacie Evans","Georgia","Fr.","5-11","OH","29","109","396"
"114","Skylar Iott","George Washington","Sr.","6-0","OH","29","99","395"
"","Ali Verzani","Tennessee Tech","Jr.","5-10","OH","30","110","395"
"116","Mallory Mattingly","Jacksonville","Sr.","5-10","OH","31","116","394"
"","Mikayla Vivens","Houston Baptist","Jr.","5-9","OH","32","117","394"
"118","Grace Cleveland","Purdue","So.","6-3","OH","32","122","393"
"","Kayla Lund","Pittsburgh","Jr.","6-0","OH","32","110","393"
"120","Mariana Brambilla","Georgia Tech","So.","5-11","OH","30","109","392"
"","Victoria Pearson","Prairie View","Jr.","5-10","MB","38","136","392"
"","Micaya White","Texas","Sr.","6-1","OH","27","98","392"
"123","Emma Granger","Robert Morris","Jr.","6-4","MB","30","107","389"
"124","Paige Briggs","Western Ky.","Fr.","5-10","OH","34","118","388"
"","Maggie Nedoma","Ohio","So.","6-0","OPP","31","119","388"
"126","Helena Elbaek","American","Jr.","6-1","OH","32","117","386"
"127","Jylen Whitten","Jackson St.","Fr.","5-9","OH","33","117","385"
"128","Savannah Davison","New Mexico St.","So.","5-10","OH","31","108","384"
"","Lexie Douglas","Tulane","Jr.","6-0","OH","33","131","384"
"","Mariena Hayden","UNLV","Jr.","6-0","OH","26","102","384"
"","Courteney Pitt","N.C. A&T","Jr.","6-1","OH","31","113","384"
"132","Hannah Flowers","Memphis","Jr.","6-2","RS","28","109","383"
"","Alli Stumler","Kentucky","So.","-","OH","32","114","383"
"","Alondra Vazquez","Evansville","So.","5-11","OH","30","117","383"
"135","Aiko Jones","Louisville","Fr.","6-2","OPP","32","121","382"
"","Hannah Thompson","Bradley","So.","5-8","OH","30","119","382"
"137","Megan Gneiting","Weber St.","Sr.","6-0","OH","35","133","380"
"138","Iva Vujosevic","Georgetown","Sr.","5-11","OH","30","109","379"
"139","Kaylin Korte","Clemson","Jr.","6-0","OH","29","106","378"
"","Brooke Moore","Austin Peay","Jr.","5-10","OH","31","118","378"
"","Lauren Rokey","Morehead St.","Jr.","6-0","OH","32","113","378"
"","Barbara Silva","UTRGV","Sr.","5-10","RS","31","116","378"
"","Justine Spann","Colorado","Sr.","5-8","OH","30","106","378"
"144","Kennedy  Warren","Idaho","So.","6-0","MB","31","122","377"
"145","Tylar Roberson","Morgan St.","Jr.","5-11","OH","30","114","376"
"146","Kayla Afoa","Nevada","Jr.","5-9","OH","30","114","375"
"","Abby Noll","Eastern Ky.","Fr.","5-11","OH","30","97","375"
"148","Lydia Bartalo","Denver","Jr.","5-10","OH","32","117","374"
"","Stacey Hone","Southern Utah","Jr.","6-0","OH","31","116","374"
"150","Addie Barnes","Loyola Chicago","Fr.","5-11","OH","32","124","371"
"","Catie Cronister","Wofford","Sr.","5-10","OH","30","111","371"
"","Samantha Drechsel","Washington","Jr.","6-4","OH","33","128","371"
"","Abigail Veit","Western Caro.","Sr.","5-11","OH","29","110","371"
"","Evi Wilson","Montana St.","Sr.","5-11","OH","28","107","371"

NCAA Women's Volleyball
Division ITotal Assists
Through Games 12/21/2019


"Rank","Name","Team","Cl","Ht","Pos","S","Assists"
"1","Saige Ka'aha'aina-Torres","Utah","So.","6-0","S","134","1518"
"2","Armania Heckenmueller","Cincinnati","So.","5-7","S","125","1514"
"3","Daisy Schultz","Northern Colo.","Jr.","5-9","S","132","1505"
"4","Ashlyn Power","Weber St.","Jr.","5-8","S","133","1459"
"5","Rachel Koop","UNI","Sr.","5-9","S","129","1458"
"6","Madison Jurgens","South Dakota","So.","5-9","S","123","1438"
"7","Raquel Lázaro","Southern California","So.","6-0","S","132","1404"
"8","Jenna Gray","Stanford","Sr.","6-1","S","120","1394"
"","Ella May Powell","Washington","So.","6-0","S","133","1394"
"10","Lexi Broadwater","Kennesaw St.","Sr.","5-8","S","115","1389"
"11","Matti McKissock","Georgia Tech","So.","5-9","S","123","1387"
"12","Sydney Hilley","Wisconsin","Jr.","6-0","S","116","1383"
"13","Vera Giacomazzi","Ohio","Jr.","5-8","S","119","1352"
"14","Amara Anderson","Troy","So.","6-0","S","120","1348"
"15","Gabby Blossom","Penn St.","So.","5-9","S","117","1332"
"16","Stef Jankiewicz","Illinois St.","Jr.","5-10","S","120","1329"
"17","Hayley Bush","Purdue","So.","5-10","S","122","1307"
"18","Andrea Fuentes","Missouri","So.","5-9","S","111","1306"
"19","Mackenzi Welsh","Michigan","Sr.","6-1","S","118","1301"
"20","Julianna Askew","North Florida","Fr.","6-0","S","126","1296"
"","Nadia Dieudonne","Western Ky.","So.","5-8","S","118","1296"
"","Nicklin Hames","Nebraska","So.","5-10","S","119","1296"
"23","Diana Brown","Illinois","Fr.","6-0","S","118","1294"
"24","Corinne Meglic","Samford","Jr.","5-10","S","118","1292"
"25","Marrisa Wonders","Towson","Sr.","5-11","S","112","1289"
"26","Meghan Donovan","Georgia","Sr.","6-2","S","112","1271"
"27","Brigitta Petrenko","Coastal Caro.","Fr.","6-0","S","116","1258"
"28","Madison Lilley","Kentucky","Jr.","5-11","S","110","1254"
"29","Emily Arnold","ETSU","Fr.","5-7","S","122","1249"
"30","Julia Kurowski","Colgate","So.","6-1","S","122","1247"
"31","Lily Heim","SMU","So.","6-0","S","106","1230"
"32","Allana McInnis","Evansville","Jr.","5-7","S","117","1226"
"33","Maddie Yoss","Green Bay","Sr.","5-9","S","114","1223"
"34","Zoe Nunez","Notre Dame","So.","5-10","S","115","1219"
"35","Chelsey Lockey","FGCU","So.","5-9","S","108","1214"
"36","Claire Ochs","Southeast Mo. St.","So.","5-10","S","129","1206"
"37","Ashtin Olin","Sacramento St.","So.","5-11","S","129","1205"
"38","Marlie Monserez","Florida","So.","6-0","S","117","1204"
"39","Emily DeWalt","Texas St.","So.","5-10","S","117","1196"
"40","Hannah Sedwick","Baylor","Jr.","6-1","S","104","1193"
"41","Sarah Ciszek","Sacred Heart","So.","5-10","S","120","1189"
"","Erica Di Maulo","St. John's (NY)","Sr.","6-0","S","117","1189"
"43","Camille Conner","Texas A&M","Jr.","6-1","S","120","1187"
"44","Madelyn Cole","Creighton","Sr.","5-10","S","107","1178"
"","Lexie Libs","Jacksonville St.","Jr.","5-9","S","106","1178"
"","Manuela Nicolini","Fairfield","Sr.","5-9","S","108","1178"
"47","Bridget Bessler","Morehead St.","Fr.","5-10","S","103","1176"
"48","Sami Clarkson","Omaha","Fr.","5-11","S","102","1175"
"49","Roi Wallace","Morgan St.","Sr.","5-9","S","114","1166"
"50","Kathryn Wood","La Salle","Sr.","5-10","S","109","1162"
"51","Lexis Akeo","Pittsburgh","Fr.","5-8","S","111","1161"
"52","Katie Oleksak","Colorado St.","Sr.","5-10","S","105","1160"
"53","Camryn Machado","San Diego St.","Jr.","5-9","S","109","1158"
"54","Julia Patterson","Arizona","Sr.","5-10","S","117","1151"
"55","Luisa Sydlik","Hofstra","Sr.","5-10","S","111","1149"
"56","Alli Schomers","UMKC","Jr.","5-10","S","111","1143"
"57","Isabelle Marciniak","Bowling Green","Sr.","5-10","S","123","1139"
"58","Morgan Elmore","Lipscomb","Sr.","5-11","S","105","1137"
"59","Sabrina Bianco","Memphis","So.","5-7","S","110","1136"
"","Anilee Sher","Rider","So.","5-8","S","104","1136"
"61","Sylvia Lawson","Oral Roberts","Fr.","5-11","S","123","1127"
"62","Allie Lynch","Montana St.","Jr.","5-10","S","112","1116"
"","Lacey Zerwas","West Virginia","So.","6-0","S","108","1116"
"64","Danielle Boss","Boise St.","So.","5-9","S","111","1113"
"65","Ashley Hand","Tennessee Tech","So.","6-0","S","112","1111"
"66","Sam Bickley","Appalachian St.","Fr.","6-0","S","110","1108"
"67","Emma Decker","Villanova","Sr.","6-3","S","108","1107"
"68","Hannah Pukis","Washington St.","Fr.","5-11","S","113","1105"
"69","Jane Seslar","UC Davis","So.","5-9","S","112","1103"
"70","Megan Anderson","Hartford","Jr.","5-11","S","105","1102"
"71","Ezgi Basaranlar","Delaware","Fr.","5-11","S","103","1092"
"72","Kylee McLaughlin","Oklahoma","Jr.","5-10","S","109","1089"
"73","Dalyn Burns","Nevada","Sr.","5-8","S","114","1087"
"74","Lauren Bars","Ole Miss","Jr.","6-2","S","117","1085"
"","Klaire Mitchell","Grand Canyon","Fr.","5-7","S","113","1085"
"76","Taylor Hammill","Middle Tenn.","Sr.","-","S","111","1084"
"77","Kennedy Cordia","Saint Louis","Jr.","5-6","S","112","1081"
"78","Lainey Stephenson","Wright St.","So.","5-11","S","111","1079"
"79","Brittany Anderson","Valparaiso","Jr.","5-11","S","127","1076"
"80","Anna Newsome","San Diego","Sr.","5-9","S","112","1072"
"81","Whitney Bower","BYU","Fr.","5-9","S","112","1070"
"82","Ashley Dwyer","Loyola Maryland","Fr.","5-9","S","122","1067"
"83","Ashley McBee","Murray St.","Jr.","5-5","OH","98","1061"
"84","Kenzie Hinshaw","UT Martin","Jr.","5-9","S","118","1060"
"85","Emily Weigand","Akron","Jr.","5-10","S","103","1058"
"86","Jessica Harris","Princeton","Sr.","5-9","S","88","1055"
"","Abbie Hughes","FIU","So.","5-9","S","103","1055"
"88","Corrin Peterson","Southern Utah","So.","5-8","S","101","1054"
"89","Morgan Dewyer","Houston Baptist","Jr.","5-8","S","113","1051"
"90","Paige Miles","Navy","Sr.","5-11","S","111","1049"
"","Olivia Wassner","American","Jr.","6-0","S","107","1049"
"92","Scout McLerran","Buffalo","Sr.","5-10","S","115","1048"
"93","Avalon DeNecochea","Cal Poly","So.","6-2","S","110","1042"
"94","Courtney Koehler","South Carolina","Sr.","5-11","S","114","1031"
"95","Savannah Vach","Miami (FL)","Fr.","5-11","S","98","1028"
"96","Talyn Jackson","Virginia Tech","So.","5-11","S","116","1027"
"97","Cassidy Ceriani","Canisius","Sr.","5-11","S","120","1025"
"98","Katie Murphy","Furman","So.","5-8","S","109","1023"
"99","Lucie Pokorna","New Orleans","Fr.","5-8","S","108","1020"
"100","Jhenna Gabriel","Texas","So.","5-8","-","97","1019"
"","Baylee Laskoskie","Southeastern La.","Fr.","6-0","S","110","1019"
"102","Alex Haffner","Kent St.","So.","5-10","S","113","1015"
"103","Nina Sharpton","NC State","So.","5-10","S","122","1012"
"104","Jenna Ewert","Colorado","So.","5-10","S","106","1010"
"105","Christina Grecol","Cleveland St.","So.","5-8","S","107","1009"
"","McKenna Slavik","Clemson","Fr.","6-1","S","106","1009"
"","Alleah Stamatis","Mississippi St.","Sr.","5-10","S","111","1009"
"108","Debora Nazario","UTRGV","Jr.","5-10","S","113","1006"
"109","Celene Morris","N.C. Central","So.","5-8","S","123","1005"
"","Hannah Morris","Liberty","Sr.","6-0","S","115","1005"
"111","Grace Balensiefer","Northern Ill.","So.","5-10","S","105","1002"
"112","Maria Llinas","Siena","Fr.","-","S","110","1001"
"113","Kellie Hughes","Portland","Jr.","5-6","S","107","996"
"","Hannah Price","Western Caro.","Jr.","5-10","S","99","996"
"115","Ivana Blazevic","UMES","Sr.","6-1","DS","125","994"
"116","Piper Mauck","Iowa St.","Jr.","6-1","S","97","993"
"117","Annika Wetterstrom","Charlotte","Fr.","5-10","S","112","990"
"118","Siani Yamaguchi","Winthrop","Jr.","-","-","107","988"
"119","Ally Wada","San Francisco","So.","5-8","S","108","982"
"120","Natalie Martin","Jacksonville","So.","5-10","S","111","974"
"121","Megan Evans","Alabama A&M","Jr.","6-0","S","114","969"
"","Madelyn Halteman","Fresno St.","Sr.","5-10","S","104","969"
"123","Kelsey O'Loughlin","Bucknell","Fr.","5-9","S","102","966"
"124","Brianna Lang","Coppin St.","So.","5-8","S","111","964"
"125","Karli Rose","LSU","Fr.","5-7","S","101","961"
"126","Maddie Halsey","Chattanooga","Jr.","5-9","S","103","960"
