 


  
  

NCAA Women's Volleyball
Division IAces Per Set
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Aces","Per Set"
"37","Meg Wolowicz","Northern Ill.","Sr.","6-4","MB","480","27","9","38","535.0"
"38","Kara Bajema","Washington","Jr.","6-2","OH","475","25","12","43","533.5"
"","Abby Garrity","Idaho St.","Sr.","6-0","OH","485","27","7","29","533.5"
"40","Krista Boesing","Samford","Sr.","5-10","OH","494","2","19","35","532.5"
"41","Andrea Mitrovic","Buffalo","So.","6-2","OH","474","26","10","39","529.5"
"42","Alexa Smith","Colorado","Sr.","6-1","OH","465","25","11","56","529.0"
"43","Torrey Van Winden","Cal Poly","Jr.","6-3","OH","466","21","6","71","528.5"
"44","Rachel Giustino","Murray St.","Jr.","5-10","OH","470","29","6","45","527.5"
"45","Piper Thomas","UNI","Sr.","6-1","MH","465","0","26","72","527.0"
"46","Alyssa Enneking","Oklahoma","Sr.","5-11","OPP","479","17","4","46","523.0"
"47","Kendra Dahlke","Arizona","Sr.","6-0","OH","487","15","10","20","522.0"
"","Kylie Kuyava-Deberg","Missouri","So.","6-4","OH","425","59","13","50","522.0"
"49","Haley Libs","Northern Ky.","Sr.","6-0","OH","470","28","3","35","518.5"
"","Breana Runnels","Colorado St.","So.","5-10","OH","454","29","6","59","518.5"
"51","Kennedy Madison","Col. of Charleston","Sr.","6-0","MB","459","5","21","66","518.0"
"52","Khalia Lanier","Southern California","Jr.","6-2","OH","457","38","2","28","511.0"
"53","Mikayla Vivens","Houston Baptist","So.","5-9","OH","445","33","3","57","509.5"
"54","Carlyle Nusbaum","Lipscomb","Sr.","5-10","OH","436","33","23","33","508.5"
"55","Taylor Bannister","LSU","So.","6-5","MB","456","19","9","48","508.0"
"56","Hayley Dotseth","South Dakota","Sr.","5-11","OH","447","35","6","39","507.5"
"57","Jordan Smith","Eastern Mich.","Sr.","5-10","OH","456","25","7","38","507.0"
"58","Taylor Cunningham","Sam Houston St.","Sr.","5-11","MB","422","15","11","116","506.0"
"59","Jaali Winters","Creighton","Sr.","6-3","OH","451","25","9","40","505.0"
"60","Maria Bellinger","Delaware","Jr.","6-1","OH","464","20","0","40","504.0"
"","Nicole Rightnowar","Purdue Fort Wayne","Sr.","5-11","OH","455","25","1","46","504.0"
"62","Mikaela Nocetti","Sacramento St.","Sr.","5-11","OH","450","37","3","27","503.5"
"63","Kaitlyn Lines","Pacific","So.","6-0","OH","437","41","6","36","502.0"
"","Laura Masciullo","Hofstra","Jr.","6-0","OH","466","1","2","66","502.0"
"65","Aeryn Owens","CSUN","Sr.","6-0","OH","446","25","12","34","500.0"
"66","Kaylie Jorgenson","Northern Ariz.","Sr.","6-0","OH","404","43","28","48","499.0"
"67","Rachel Bontrager","Western Mich.","So.","5-11","OH","435","21","27","29","497.5"
"","Cheyenne Hayes","Troy","So.","5-9","OH","441","39","3","29","497.5"
"69","Deja Harris","San Diego St.","Sr.","6-2","MB","376","22","25","147","496.5"
"","Janet Kalaniuvalu","Southern Utah","So.","6-2","OH","451","22","3","41","496.5"
"","Lindsey Vander Weide","Oregon","Sr.","6-3","OH","432","33","7","49","496.5"
"72","Sara Kovac","LMU (CA)","Sr.","6-0","OPP","448","21","2","45","493.5"
"73","Polina Shemanova","Syracuse","Fr.","6-0","OH","447","9","5","59","490.5"
"74","Ronika Stone","Oregon","Jr.","6-2","MB","380","23","20","130","488.0"
"75","Ellie Dunn","Ball St.","Sr.","6-1","OH","435","16","13","47","487.5"
"76","Cathryn Cheek","Drake","Sr.","5-10","OH","426","16","10","70","487.0"
"","Ciara DeBell","Marshall","So.","6-2","OH","437","19","15","32","487.0"
"78","Rachel Anderson","Western Ky.","Sr.","6-1","MH","397","14","37","76","486.0"
"79","Erica Treiber","Tennessee","Sr.","6-1","MH","363","46","15","123","485.5"
"80","Dacia Brown","Murray St.","Sr.","5-11","MB","445","9","11","40","485.0"
"81","Mariana Brambilla","Georgia Tech","Fr.","5-11","OH","438","29","5","24","484.0"
"","Mckenna Woodford","Washington St.","Sr.","6-4","OH","436","2","12","68","484.0"
"83","Tessa Grubbs","Tennessee","Jr.","6-3","OH","453","2","10","35","482.5"
"84","Sarah Sharp","Idaho","Sr.","6-4","OH","440","0","10","63","481.5"
"85","Cassie Haut","Eastern Mich.","Jr.","6-2","RS","392","16","25","93","479.5"
"86","Tatyana Battle","New Mexico St.","Sr.","6-0","OH","420","32","4","46","479.0"
"87","Margherita Bianchin","FIU","Sr.","6-0","OH","410","34","4","60","478.0"
"88","Taylor Mims","Washington St.","Sr.","6-3","OH","411","29","14","47","477.5"
"","Caylee Parker","UConn","Fr.","5-11","OH","433","21","4","39","477.5"
"90","Reeana Richardson","Charlotte","Sr.","5-10","OH","441","10","2","47","476.5"
"91","Taylor Louis","Iowa","Sr.","6-2","OH","430","10","14","42","475.0"
"92","Veronica Marin","Little Rock","Sr.","6-2","MB","326","31","50","135","474.5"
"93","Olivia Lohmeier","Morehead St.","So.","6-0","OH","413","25","6","53","470.5"
"94","Lauren Twitty","New Mexico","Jr.","6-2","OH","407","23","11","57","469.5"
"95","Lauren Chastang","Kennesaw St.","So.","5-11","OH","417","20","5","54","469.0"
"96","Sabryn Roberts","Boise St.","Sr.","5-8","OH","404","20","8","73","468.5"
"97","Brooke Bailey","Clemson","So.","6-2","OH","437","0","12","38","468.0"
"98","Sharlissa de Jesus","The Citadel","So.","5-9","OH","406","42","8","22","467.0"
"99","Mikaila Dowd","Georgia Tech","Fr.","6-1","OH","422","18","6","35","463.5"
"","Aleksandra Kazala","American","Sr.","6-0","OH","406","25","6","53","463.5"
"101","Kristen Bell","Utah Valley","So.","6-2","OH","396","34","4","58","463.0"
"","Shelly Stafford","Baylor","Jr.","6-2","MB","370","21","7","130","463.0"
"103","Catie Cronister","Wofford","Jr.","5-10","OH","382","48","8","49","462.5"
"","Lauren Deaton","Samford","Fr.","-","OH","411","30","6","31","462.5"
"105","Megann Delgado","Hampton","Jr.","6-2","RS","398","46","6","24","462.0"
"106","Katherine Carlson","Valparaiso","Sr.","5-11","OH","413","29","6","26","461.0"
"","Ann Ernst","Loyola Maryland","Jr.","5-9","OH","426","17","1","34","461.0"
"108","Kat Miller","Quinnipiac","Sr.","5-11","RS","366","47","7","76","458.0"
"109","Mima Mirkovic","California","So.","5-11","OH","405","29","7","32","457.0"
"110","Hannah Flowers","Memphis","So.","6-2","RS","373","45","2","73","456.5"
"111","Amy Underdown","Oregon St.","Jr.","6-1","OH","406","20","6","48","456.0"
"112","Samantha Anderson","Central Ark.","Sr.","6-3","MB","422","0","5","57","455.5"
"","Paige Jones","Michigan","Fr.","6-1","OH","402","39","5","19","455.5"
"","Maddi Sgattoni","Navy","So.","5-8","OH","393","41","3","37","455.5"
"115","Aisha Skinner","Hofstra","Fr.","5-9","RS","410","10","3","64","455.0"
"116","Maria Yvett Garcia","Florida A&M","Jr.","6-1","OH","402","26","6","38","453.0"
"117","Ragni Steen Knudsen","UTRGV","Sr.","5-11","OH","409","21","2","37","450.5"
"118","Caroline Kennedy","Bryant","Fr.","5-10","OH","409","9","4","55","449.5"
"119","Abby Akin","Northern Ariz.","Jr.","6-3","MB","325","45","19","117","447.5"
"120","Nika Markovic","Pittsburgh","Jr.","6-0","RS","371","29","4","85","446.5"
"121","Alyssa Chronowski","Michigan St.","So.","6-2","OH","365","26","31","47","445.5"
"122","Bayle' Bennett","Alabama St.","Jr.","5-10","OH","374","33","16","43","444.5"
"","Rhett Robinson","North Texas","Fr.","5-11","OH","380","15","8","83","444.5"
"124","Devin Corah","La Salle","Jr.","5-9","OH","412","3","7","43","443.5"
"","Allison Ketcham","Valparaiso","Sr.","5-10","OH","386","26","11","41","443.5"
"","Rachele Rastelli","St. John's (NY)","Fr.","6-4","OPP","359","33","10","83","443.5"
"127","Miajavon Coleman","Coppin St.","Fr.","5-11","OH","415","1","8","37","442.5"
"128","Kayla Lund","Pittsburgh","So.","6-0","OH","387","38","5","24","442.0"
"","Massiel Matos","Fla. Atlantic","Jr.","6-0","OH","369","44","12","34","442.0"
"130","Mallory Mattingly","Jacksonville","Jr.","5-10","OH","383","39","6","27","441.5"
"","Emily Thorson","Tulsa","Sr.","6-2","OH","370","33","19","39","441.5"
"132","Micaya White","Texas","Jr.","6-1","OH","391","21","6","46","441.0"
"133","Abigail Miksch","Air Force","Sr.","6-2","OH","402","10","7","43","440.5"
"134","Samantha Drechsel","Washington","So.","6-4","OH","380","19","7","68","440.0"
"","Tyrecia Lukes","UMKC","Jr.","6-1","MH","354","0","25","122","440.0"
"136","Jori Radtke","Northern Ill.","So.","5-11","OH","389","21","7","45","439.5"
"137","Jordan Jefferson","Bethune-Cookman","So.","5-8","OH","397","26","1","30","439.0"
"138","Emma Longley","Appalachian St.","Jr.","5-11","OH","406","12","12","17","438.5"
"139","Claire Archibald","Iona","Sr.","5-10","OH","396","28","2","24","438.0"
"140","Maya Taylor","Saint Louis","So.","5-11","OH","403","22","5","12","436.0"
"141","Kayla Afoa","Nevada","So.","5-9","OH","385","30","4","32","435.0"
"","Mildrelis Rodriguez","Evansville","Sr.","5-9","OH","379","38","5","26","435.0"
"143","Andrea Hale","Weber St.","Sr.","6-3","OH","370","34","5","49","433.5"
"144","Alicia Harrington","UMKC","Jr.","6-0","OH","387","15","12","36","432.0"
"","Kaela Straw","Idaho","Sr.","6-1","OH","393","0","11","56","432.0"
"146","Maddie Goings","Oregon St.","So.","5-9","OH","393","17","7","29","431.5"
"147","Teni Sopitan","NC State","Sr.","6-1","MB","391","0","23","30","429.0"
"148","Lauryn Dela Cruz","Chicago St.","Sr.","5-8","OH","377","20","14","35","428.5"
"","Taylor Wilson","South Dakota","Sr.","6-0","MB","362","14","17","71","428.5"
"150","Mykaela Hammer","Montana","Sr.","6-1","OH","372","16","7","66","428.0"
"","Lauren Stivrins","Nebraska","So.","6-4","MB","314","25","22","134","428.0"
Reclassifying
"NR","Tesa Oaks","California Baptist","So.","5-11","OH","408","34","4","36","464.0"

NCAA Women's Volleyball
Division ITotal Kills
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","MP","S","Kills"
"1","Jordan Thompson","Cincinnati","Jr.","6-4","RS","34","132","827"
"2","Lindsey Ruddins","UC Santa Barbara","Jr.","6-2","OH","29","110","587"
"3","Carlisa May","Arkansas St.","Sr.","5-10","OH","32","123","584"
"","Emily Stroup","Ole Miss","Jr.","6-0","OH","32","124","584"
"5","Karlie Taylor","UNI","Jr.","5-11","OH","32","118","563"
"6","Jacqueline Quade","Illinois","Jr.","6-2","OH","36","132","560"
"7","Kazna Tarawhiti","Utah Valley","Fr.","5-11","OH","34","139","558"
"8","Sherridan Atkinson","Purdue","Sr.","6-5","OH","33","130","546"
"9","Kathryn Plummer","Stanford","Jr.","6-6","OH","34","116","545"
"10","Erica Haslag","Bradley","Sr.","5-11","OH","33","127","543"
"","Mariena Hayden","UNLV","So.","6-0","OH","33","127","543"
"12","Allie Barber","Marquette","Jr.","6-5","OH","35","115","537"
"13","Kylie Grandy","Southern Miss.","Sr.","5-11","OH","32","126","530"
"14","McKenna Melville","UCF","Fr.","6-1","OH","31","117","529"
"15","Hollann Hans","Texas A&M","Jr.","6-1","OH","29","120","528"
"16","Dani Drews","Utah","So.","6-0","RS","33","126","522"
"17","Yossiana Pressley","Baylor","So.","6-0","OH","27","110","517"
"18","Jess Schaben","Iowa St.","Sr.","6-2","OH","34","123","516"
"19","Mikaela Foecke","Nebraska","Sr.","6-3","OH","36","133","514"
"20","Taylor Wolf","Green Bay","So.","6-2","S","31","113","513"
"21","Devon Rachel","Col. of Charleston","Sr.","6-0","OH","35","128","512"
"","Carly Skjodt","Michigan","Sr.","6-1","OH","34","122","512"
"23","Veronica Jones-Perry","BYU","Sr.","6-0","OH","33","105","506"
"24","Leah Clayton","ETSU","Jr.","5-11","OH","35","125","503"
"25","Lauren Bruns","Dayton","Sr.","6-1","OH","31","118","502"
"26","Brooke Botkin","Southern California","So.","6-1","OH","30","114","500"
"27","Leah Edmond","Kentucky","Jr.","6-2","OH","31","109","498"
"28","Valerie Valerian","North Texas","So.","6-1","OH","36","131","495"
"29","Krista Boesing","Samford","Sr.","5-10","OH","34","136","494"
"30","Erika Pritchard","Maryland","So.","6-2","OH","32","114","493"
"31","Rachel Tam","Evansville","Jr.","5-9","OH","31","117","492"
"32","Taryn Kloth","Creighton","Sr.","6-4","OH","34","118","490"
"33","Kendra Dahlke","Arizona","Sr.","6-0","OH","27","102","487"
"34","Abby Garrity","Idaho St.","Sr.","6-0","OH","33","123","485"
"35","Nicole Lennon","Rice","So.","6-2","OH","31","118","482"
"","Cortney VanLiew","FGCU","So.","5-11","OH","34","120","482"
"37","Taylor Slover","Fresno St.","Sr.","6-1","OH","33","130","480"
"","Meg Wolowicz","Northern Ill.","Sr.","6-4","MB","32","120","480"
"39","Alyssa Enneking","Oklahoma","Sr.","5-11","OPP","28","108","479"
"40","Payton Caffrey","Florida St.","So.","6-0","OH","29","109","476"
"41","Kara Bajema","Washington","Jr.","6-2","OH","33","123","475"
"42","Andrea Mitrovic","Buffalo","So.","6-2","OH","28","110","474"
"43","Rachel Giustino","Murray St.","Jr.","5-10","OH","32","116","470"
"","Haley Libs","Northern Ky.","Sr.","6-0","OH","31","121","470"
"45","Laura Masciullo","Hofstra","Jr.","6-0","OH","33","127","466"
"","Torrey Van Winden","Cal Poly","Jr.","6-3","OH","27","92","466"
"47","Alexa Smith","Colorado","Sr.","6-1","OH","32","125","465"
"","Piper Thomas","UNI","Sr.","6-1","MH","34","126","465"
"49","Maria Bellinger","Delaware","Jr.","6-1","OH","28","106","464"
"50","Kennedy Madison","Col. of Charleston","Sr.","6-0","MB","36","131","459"
"51","Khalia Lanier","Southern California","Jr.","6-2","OH","29","107","457"
"52","Taylor Bannister","LSU","So.","6-5","MB","29","113","456"
"","Jordan Smith","Eastern Mich.","Sr.","5-10","OH","35","126","456"
"54","Nicole Rightnowar","Purdue Fort Wayne","Sr.","5-11","OH","32","120","455"
"55","Breana Runnels","Colorado St.","So.","5-10","OH","31","112","454"
"56","Tessa Grubbs","Tennessee","Jr.","6-3","OH","28","108","453"
"57","Janet Kalaniuvalu","Southern Utah","So.","6-2","OH","30","112","451"
"","Jaali Winters","Creighton","Sr.","6-3","OH","34","118","451"
"59","Mikaela Nocetti","Sacramento St.","Sr.","5-11","OH","31","114","450"
"60","Sara Kovac","LMU (CA)","Sr.","6-0","OPP","31","111","448"
"61","Hayley Dotseth","South Dakota","Sr.","5-11","OH","31","111","447"
"","Polina Shemanova","Syracuse","Fr.","6-0","OH","28","106","447"
"63","Aeryn Owens","CSUN","Sr.","6-0","OH","28","108","446"
"64","Dacia Brown","Murray St.","Sr.","5-11","MB","32","116","445"
"","Mikayla Vivens","Houston Baptist","So.","5-9","OH","32","124","445"
"66","Cheyenne Hayes","Troy","So.","5-9","OH","30","116","441"
"","Reeana Richardson","Charlotte","Sr.","5-10","OH","31","117","441"
"68","Sarah Sharp","Idaho","Sr.","6-4","OH","33","123","440"
"69","Mariana Brambilla","Georgia Tech","Fr.","5-11","OH","33","125","438"
"","Dana Rettke","Wisconsin","So.","6-8","MB","32","117","438"
"71","Brooke Bailey","Clemson","So.","6-2","OH","34","129","437"
"","Ciara DeBell","Marshall","So.","6-2","OH","28","103","437"
"","Kaitlyn Lines","Pacific","So.","6-0","OH","29","113","437"
"74","Carlyle Nusbaum","Lipscomb","Sr.","5-10","OH","30","108","436"
"","Mckenna Woodford","Washington St.","Sr.","6-4","OH","33","130","436"
"76","Rachel Bontrager","Western Mich.","So.","5-11","OH","30","116","435"
"","Ellie Dunn","Ball St.","Sr.","6-1","OH","32","120","435"
"78","Caylee Parker","UConn","Fr.","5-11","OH","30","109","433"
"79","Lindsey Vander Weide","Oregon","Sr.","6-3","OH","33","123","432"
"80","Taylor Louis","Iowa","Sr.","6-2","OH","31","120","430"
"81","Cathryn Cheek","Drake","Sr.","5-10","OH","36","116","426"
"","Ann Ernst","Loyola Maryland","Jr.","5-9","OH","30","119","426"
"83","Kylie Kuyava-Deberg","Missouri","So.","6-4","OH","32","119","425"
"84","Samantha Anderson","Central Ark.","Sr.","6-3","MB","33","113","422"
"","Taylor Cunningham","Sam Houston St.","Sr.","5-11","MB","30","108","422"
"","Mikaila Dowd","Georgia Tech","Fr.","6-1","OH","30","115","422"
"87","Tatyana Battle","New Mexico St.","Sr.","6-0","OH","32","124","420"
"88","Lauren Chastang","Kennesaw St.","So.","5-11","OH","31","120","417"
"89","Miajavon Coleman","Coppin St.","Fr.","5-11","OH","32","117","415"
"90","Katherine Carlson","Valparaiso","Sr.","5-11","OH","38","143","413"
"","Olivia Lohmeier","Morehead St.","So.","6-0","OH","31","112","413"
"92","Devin Corah","La Salle","Jr.","5-9","OH","30","107","412"
"93","Lauren Deaton","Samford","Fr.","-","OH","34","136","411"
"","Taylor Mims","Washington St.","Sr.","6-3","OH","28","108","411"
"95","Margherita Bianchin","FIU","Sr.","6-0","OH","31","117","410"
"","Aisha Skinner","Hofstra","Fr.","5-9","RS","33","127","410"
"97","Caroline Kennedy","Bryant","Fr.","5-10","OH","35","138","409"
"","Ragni Steen Knudsen","UTRGV","Sr.","5-11","OH","28","105","409"
"99","Lauren Twitty","New Mexico","Jr.","6-2","OH","30","121","407"
"100","Aleksandra Kazala","American","Sr.","6-0","OH","32","116","406"
"","Emma Longley","Appalachian St.","Jr.","5-11","OH","31","109","406"
"","Amy Underdown","Oregon St.","Jr.","6-1","OH","32","121","406"
"","Sharlissa de Jesus","The Citadel","So.","5-9","OH","29","104","406"
"104","Mima Mirkovic","California","So.","5-11","OH","31","117","405"
"105","Kaylie Jorgenson","Northern Ariz.","Sr.","6-0","OH","35","132","404"
"","Sabryn Roberts","Boise St.","Sr.","5-8","OH","29","112","404"
"107","Maya Taylor","Saint Louis","So.","5-11","OH","28","98","403"
"108","Maria Yvett Garcia","Florida A&M","Jr.","6-1","OH","28","103","402"
"","Paige Jones","Michigan","Fr.","6-1","OH","34","120","402"
"","Abigail Miksch","Air Force","Sr.","6-2","OH","32","126","402"
"111","Megann Delgado","Hampton","Jr.","6-2","RS","27","103","398"
"112","Rachel Anderson","Western Ky.","Sr.","6-1","MH","30","117","397"
"","Jordan Jefferson","Bethune-Cookman","So.","5-8","OH","31","116","397"
"114","Claire Archibald","Iona","Sr.","5-10","OH","28","102","396"
"","Kristen Bell","Utah Valley","So.","6-2","OH","32","130","396"
"116","Nia Robinson","Northwestern","So.","6-2","OH","29","101","394"
"","Jac'cara Walker","South Fla.","Jr.","5-10","OH","30","112","394"
"118","Maddie Goings","Oregon St.","So.","5-9","OH","32","121","393"
"","Maddi Sgattoni","Navy","So.","5-8","OH","32","118","393"
"","Kaela Straw","Idaho","Sr.","6-1","OH","33","120","393"
"121","Cassie Haut","Eastern Mich.","Jr.","6-2","RS","33","122","392"
"122","Teni Sopitan","NC State","Sr.","6-1","MB","28","108","391"
"","Abby Thelen","Seton Hall","Sr.","6-1","OH","30","105","391"
"","Micaya White","Texas","Jr.","6-1","OH","28","101","391"
"125","Jori Radtke","Northern Ill.","So.","5-11","OH","32","121","389"
"126","Alicia Harrington","UMKC","Jr.","6-0","OH","32","123","387"
"","Kayla Lund","Pittsburgh","So.","6-0","OH","31","108","387"
"","AJ Lux","ETSU","Sr.","5-10","RS","35","125","387"
"129","Cecily Gable","Austin Peay","Sr.","6-0","OH","31","115","386"
"","Allison Ketcham","Valparaiso","Sr.","5-10","OH","38","145","386"
"","Reghan Pukis","Portland","Jr.","6-1","OH","33","123","386"
"132","Kayla Afoa","Nevada","So.","5-9","OH","29","113","385"
"","Lauren Freed","Col. of Charleston","Jr.","5-10","OH","35","129","385"
"","Skylar Iott","George Washington","Jr.","6-0","OH","25","99","385"
"135","Mallory Mattingly","Jacksonville","Jr.","5-10","OH","29","106","383"
"","Melanie McHenry","Louisville","Jr.","6-2","OH","29","107","383"
"","Hannah Thompson","Bradley","Fr.","5-8","OH","33","127","383"
"138","Catie Cronister","Wofford","Jr.","5-10","OH","30","111","382"
"","Savannah Davison","New Mexico St.","Fr.","5-10","OH","32","123","382"
"","Heaven Harris","Northern Ariz.","So.","6-0","OPP","35","132","382"
"","Rachel Ritchie","Georgia","So.","5-10","OH","29","114","382"
"","Haley Tippett","Central Ark.","Sr.","6-0","OH","33","121","382"
"143","Jaydlin Seehase","UNI","So.","6-1","OH","34","126","381"
"144","Samantha Drechsel","Washington","So.","6-4","OH","33","120","380"
"","Amelia Flynn","Missouri St.","Fr.","6-0","OH","32","113","380"
"","Rhett Robinson","North Texas","Fr.","5-11","OH","36","128","380"
"","Ronika Stone","Oregon","Jr.","6-2","MB","34","126","380"
"148","Emily Allen","UC Davis","Sr.","5-8","OH","28","106","379"
"","Liisel Nelis","Sacred Heart","Jr.","5-10","OH","27","99","379"
"","Mildrelis Rodriguez","Evansville","Sr.","5-9","OH","31","121","379"
Reclassifying
"NR","Tesa Oaks","California Baptist","So.","5-11","OH","29","117","408"

NCAA Women's Volleyball
Division ITotal Assists
Through Games 12/15/2018


"Rank","Name","Team","Cl","Ht","Pos","S","Assists"
"1","Brittany Anderson","Valparaiso","So.","5-11","S","146","1539"
"2","Allison Beckman","Col. of Charleston","Sr.","5-10","S","129","1521"
"","Jordyn Poulter","Illinois","Sr.","6-2","S","132","1521"
"4","Taylor Anderton","Samford","Sr.","5-10","S","136","1512"
"5","Rachel Koop","UNI","Jr.","5-9","S","126","1508"
"6","August Raskie","Oregon","Sr.","6-0","S","126","1486"
"7","Jenna Gray","Stanford","Jr.","6-1","S","121","1485"
"8","Luisa Sydlik","Hofstra","Jr.","5-10","S","126","1468"
"9","Hayley Bush","Purdue","Fr.","5-10","S","130","1416"
"10","Chelsea Johnson","Idaho St.","So.","5-10","S","125","1412"
"11","Sydney Hilley","Wisconsin","So.","6-0","S","117","1402"
"","Raquel Lázaro","Southern California","Fr.","6-0","S","125","1402"
"13","Gabby Easton","Clemson","Fr.","5-9","S","129","1397"
"14","Nicklin Hames","Nebraska","Fr.","5-10","S","133","1395"
"15","Erica Di Maulo","St. John's (NY)","Jr.","6-0","S","137","1389"
"16","Ashley Brown","Washington St.","Jr.","5-9","S","130","1364"
"17","Karley York","North Texas","Sr.","5-9","S","131","1361"
"18","Lexi Broadwater","Kennesaw St.","Jr.","5-8","S","120","1354"
"19","Alyssa Kvarta","ETSU","Sr.","5-8","S","125","1350"
"20","Tess Reid","LMU (CA)","Jr.","5-8","S","112","1344"
"21","Julia Patterson","Arizona","Jr.","5-10","S","125","1343"
"22","Sarah Bell","Southern Miss.","Sr.","5-10","S","125","1328"
"23","Cali Thompson","Portland","Jr.","6-0","S","124","1326"
"24","Ella May Powell","Washington","Fr.","6-0","S","123","1317"
"25","Stef Jankiewicz","Illinois St.","So.","5-10","S","115","1301"
"26","Wilma Rivera","Louisville","Sr.","5-10","S","116","1294"
"27","Lexie Libs","Jacksonville St.","So.","5-9","S","123","1290"
"","Piper Mauck","Iowa St.","So.","6-1","S","115","1290"
"29","Madelyn Cole","Creighton","Jr.","5-10","S","118","1289"
"30","Katie Oleksak","Colorado St.","Jr.","5-10","S","112","1288"
"31","Madelyn Halteman","Fresno St.","Jr.","5-10","S","130","1285"
"32","Kristen Stucker","Austin Peay","Sr.","6-0","S","116","1282"
"33","Meghan Donovan","Georgia","Jr.","6-2","S","115","1273"
"34","Emily DeWalt","Texas St.","Fr.","5-10","S","124","1270"
"35","Mackenzi Welsh","Michigan","Jr.","6-1","S","119","1268"
"36","Ivone Martinez","Fla. Atlantic","Sr.","5-9","S","101","1264"
"37","Camille Conner","Texas A&M","So.","6-1","S","123","1263"
"38","Hannah Angeli","Bradley","Jr.","6-0","S","123","1262"
"39","Haylee Mathis","Idaho","Sr.","5-11","S","120","1261"
"40","Samantha Seliger-Swenson","Minnesota","Sr.","5-11","S","107","1258"
"","Bryanna Weiskircher","Penn St.","Sr.","6-1","S","115","1258"
"42","Olivia Lovenberg","UC Santa Barbara","Fr.","5-8","S","112","1255"
"43","Gabrielle Orr","Iowa","So.","5-10","S","121","1242"
"44","Roosa Rautio","North Dakota","Fr.","5-9","-","120","1238"
"45","Maddie Yoss","Green Bay","Jr.","5-9","S","113","1236"
"46","Sydney Case","Omaha","Fr.","5-10","S","111","1233"
"47","Madison Lilley","Kentucky","So.","5-11","S","109","1232"
"48","Amber Seaman","Ball St.","Jr.","5-11","S","119","1223"
"49","Madison O'Brien","Houston Baptist","Sr.","5-9","S","125","1222"
"50","Chandler Clark","Morehead St.","So.","5-9","S","113","1221"
"51","Amara Anderson","Troy","Fr.","6-0","S","116","1217"
"52","Daisy Schultz","Northern Colo.","So.","5-9","S","108","1212"
"53","Ellie Watkins","Arkansas St.","Sr.","5-9","S","122","1199"
"54","Kathryn Wood","La Salle","Jr.","5-10","S","107","1196"
"55","Lyndie Haddock-Eppich","BYU","Sr.","5-10","S","107","1195"
"56","Blossom Sato","Pepperdine","Sr.","5-8","S","111","1194"
"57","Kylie Pickrell","NC State","Sr.","6-0","S","110","1189"
"58","Emma Rose","Iona","Sr.","5-9","S","102","1188"
"59","Kori Kutsch","Alabama St.","Sr.","5-9","S","138","1187"
"60","Nya Steele","Charlotte","Fr.","5-7","S","124","1178"
"61","Hunter Thompson","Furman","Sr.","5-10","S","110","1173"
"62","Kendall Bosse","Abilene Christian","Sr.","5-11","OH","118","1169"
"63","Siani Yamaguchi","Winthrop","So.","-","-","112","1168"
"64","Chloe Rear","Missouri St.","Fr.","5-10","S","116","1166"
"65","Madison Jurgens","South Dakota","Fr.","5-9","S","111","1163"
"66","Kylee McLaughlin","Oklahoma","So.","5-10","S","108","1162"
"67","Susie Jeziorowski","Tennessee Tech","Sr.","5-9","S","117","1154"
"68","Delilah Wolf","Loyola Chicago","Jr.","6-2","S","108","1152"
"69","Ashlyn Power","Weber St.","So.","5-8","S","105","1150"
"70","Ashtin Olin","Sacramento St.","Fr.","5-11","S","111","1146"
"71","Sarah Martin","James Madison","Jr.","6-1","S","111","1145"
"72","Ashley Watkins","Montana","Jr.","6-0","S","113","1144"
"73","Alexis Rich","Fairfield","Fr.","5-8","S","107","1143"
"74","Tori Dilfer","TCU","So.","5-10","S","102","1134"
"","Madison Jaqua","Purdue Fort Wayne","Sr.","5-10","S","119","1134"
"76","Maria Pansari","Quinnipiac","Jr.","5-6","S","112","1126"
"","Becky Porter","Appalachian St.","Sr.","6-1","S","104","1126"
"78","Courtney Koehler","South Carolina","Jr.","5-11","S","112","1121"
"79","Leanne Sakowicz","Stony Brook","Jr.","5-10","S","106","1119"
"80","Nicole Alford","Maryland","So.","6-1","S","114","1117"
"81","Zoe Nunez","Notre Dame","Fr.","5-10","S","105","1113"
"82","Mary Murphy","Western Mich.","Sr.","5-8","S","112","1109"
"","Emma Turner","UConn","Sr.","5-10","S","121","1109"
"84","Samantha Shupe","Northeastern","So.","5-10","S","109","1105"
"85","Vera Giacomazzi","Ohio","So.","5-8","S","117","1104"
"","Claire Ochs","Southeast Mo. St.","Fr.","5-10","S","112","1104"
"87","Bria Bergman","Oral Roberts","Sr.","5-9","S","114","1100"
"88","Sarah Dixon","Kansas St.","Jr.","5-9","S","98","1099"
"89","Bailey Choy","Utah","Jr.","5-9","S","128","1096"
"","Tamia Dockery","Howard","Sr.","5-8","S","106","1096"
"91","Christina Grecol","Cleveland St.","Fr.","5-8","S","110","1091"
"92","Madison Haake","USC Upstate","Sr.","5-11","S","119","1090"
"93","Haley Kleespies","Radford","Sr.","5-8","S","106","1087"
"94","Taylor van der Biezen","Marist","Sr.","5-9","S","114","1086"
"95","Emma Decker","Villanova","Jr.","6-3","S","114","1085"
